Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Parking,Floor,Price_lakhs
1460,3,3,14,18.6,2,5,57.77
1894,3,2,19,15.9,1,4,73.61
1730,3,2,14,12.2,2,0,78.57
1695,4,3,30,1.1,2,8,94.0
2238,5,5,0,15.7,3,8,133.52
2769,6,5,24,14.3,1,8,141.52
1066,3,3,13,12.7,0,10,57.02
1838,3,2,4,15.4,1,7,86.93
930,3,3,10,10.7,1,9,51.25
2082,5,5,15,14.4,1,2,104.13
2735,5,4,1,18.8,1,0,122.01
730,1,1,7,8.1,2,10,39.34
2285,4,3,10,14.5,3,7,102.65
1369,3,2,28,10.0,1,6,43.85
2991,6,5,17,13.8,0,4,136.14
2115,4,4,2,15.5,1,9,120.41
1815,3,2,29,1.9,2,6,88.41
1555,4,4,25,13.3,1,9,66.25
2924,6,5,0,5.3,1,3,175.18
1784,4,3,10,13.7,1,8,97.26
1059,3,3,15,9.9,1,10,61.36
621,1,1,17,15.7,1,9,15.0
2900,5,4,29,3.3,1,1,142.44
1347,2,2,15,12.9,2,8,65.27
1074,3,3,22,6.3,3,8,59.56
1682,3,2,9,17.2,2,4,73.17
2647,6,5,17,18.6,2,10,136.07
1575,2,1,5,19.9,1,0,42.34
2406,5,4,30,16.1,1,6,110.32
789,2,1,18,15.3,2,9,39.3
1162,3,2,3,5.1,2,9,73.3
2499,5,5,26,7.4,0,3,127.43
1867,4,4,30,9.8,1,8,82.86
2128,4,3,12,15.7,0,5,96.41
1246,2,1,23,18.4,1,2,36.52
2668,5,5,13,4.6,1,5,146.14
2814,6,5,2,18.5,1,9,152.99
1897,3,3,9,14.2,0,5,74.56
1200,3,3,5,12.6,1,4,57.41
2963,6,5,0,4.8,2,1,163.9
2661,6,5,22,2.1,1,9,157.37
841,2,1,23,11.8,1,9,32.53
2641,5,4,26,13.4,1,1,115.32
1963,4,4,13,5.0,2,6,115.35
2739,6,5,7,11.6,0,1,141.5
1990,4,4,18,17.3,3,5,98.64
2078,4,4,13,16.9,1,4,96.34
1375,3,2,9,18.6,3,3,46.96
634,1,1,16,8.0,2,6,30.07
2853,6,5,8,7.0,1,7,162.55
2555,5,5,28,15.2,0,3,103.25
2185,5,5,5,9.2,1,0,118.39
1621,3,2,10,2.7,1,0,71.98
1729,4,4,24,6.4,1,0,74.51
2100,4,4,6,9.0,1,10,122.06
1302,2,2,16,6.6,1,0,55.25
2179,4,3,27,7.3,0,4,99.14
761,2,2,27,6.6,0,3,21.36
801,2,1,0,1.8,1,8,53.79
2581,4,3,21,13.1,0,2,108.77
1595,4,4,4,12.3,1,6,87.7
2917,6,5,8,13.4,1,10,152.01
1415,2,2,17,4.7,1,7,64.79
1055,3,2,23,6.6,2,5,56.01
1875,4,4,26,12.8,1,9,97.7
1616,3,3,20,12.4,1,0,67.53
2943,5,5,1,10.6,1,7,173.9
937,2,1,28,7.7,2,9,37.53
1478,3,3,25,18.3,2,2,60.41
1676,4,3,10,7.5,2,7,109.9
1391,3,2,26,9.7,1,3,42.94
2864,6,5,27,13.9,0,7,138.16
1363,3,2,5,11.3,1,10,75.4
2835,6,5,25,7.6,0,0,135.63
979,2,1,7,9.3,2,2,47.86
1092,2,1,3,16.1,1,5,43.84
1780,4,3,17,6.3,2,8,95.24
2662,4,4,27,3.7,1,1,126.68
664,1,1,10,7.0,2,10,44.11
1967,4,4,4,17.1,1,0,93.76
1752,3,3,14,2.7,0,9,100.65
2627,5,5,27,19.8,1,2,108.15
2095,5,5,17,11.3,1,3,110.54
1762,3,3,1,19.7,1,10,79.18
2122,5,5,30,18.8,2,4,88.59
991,1,1,21,9.6,0,2,22.68
2298,6,5,10,4.8,1,9,136.35
1018,2,2,25,4.1,1,10,44.68
2936,6,5,24,5.6,1,1,152.6
978,3,3,12,14.5,2,1,43.14
2396,5,4,3,6.2,2,6,148.66
2878,6,5,21,7.5,2,8,155.46
2688,6,5,6,9.5,2,9,161.06
2782,6,5,28,18.4,2,1,120.36
800,1,1,10,4.6,1,6,43.04
2463,6,5,21,1.1,2,6,154.73
1379,3,2,23,2.1,1,10,77.9
1102,2,1,3,18.2,1,6,48.46
2351,5,5,27,13.3,0,2,104.34
1404,3,3,14,6.2,2,6,83.21
2746,6,5,0,4.4,2,0,165.42
2495,5,5,22,6.6,1,9,129.93
